"","currency","amount","dorms","bath","age","loft","m2","backside","office","amount_normalized"
"1","USD",29500020000,2,3,51.5,FALSE,90,FALSE,FALSE,5.900004e+12
"2","USD",24500030000,3,3,3,FALSE,150,FALSE,FALSE,4.900006e+12
"3","USD",59500028000,3,4,4,FALSE,275,FALSE,FALSE,11900005600000
"4","USD",26200030000,2,2,2,FALSE,95,FALSE,FALSE,5.240006e+12
"5","USD",1250008000,2,1,1,FALSE,60,FALSE,FALSE,250001600000
"6","USD",97500,1,1,1,FALSE,34,FALSE,FALSE,19500000
"7","USD",16500012000,2,2,23.5,FALSE,53,FALSE,FALSE,3300002400000
"8","USD",810006000,1,1,25.5,FALSE,31,FALSE,FALSE,162001200000
"9","USD",24500030000,2,3,3,FALSE,150,FALSE,FALSE,4.900006e+12
"10","USD",6500010500,NA,1,25.5,FALSE,31,FALSE,FALSE,1300002100000
"11","USD",749006900,1,1,26.5,FALSE,34,FALSE,FALSE,149801380000
"12","USD",14000012000,1,1,4.5,FALSE,46,FALSE,FALSE,2800002400000
"13","USD",840006500,1,1,25.5,FALSE,40,FALSE,FALSE,168001300000
"14","USD",89000,2,1,30.5,FALSE,48,FALSE,FALSE,17800000
"15","USD",29000023000,3,2,18.5,FALSE,123,FALSE,FALSE,5800004600000
"16","USD",13500013160,1,1,20.5,FALSE,42,FALSE,FALSE,2700002632000
"17","USD",193000,2,1,19,FALSE,85,FALSE,FALSE,38600000
"18","USD",620007000,NA,1,25.5,TRUE,30,FALSE,FALSE,124001400000
"19","USD",19800019000,2,2,23.5,FALSE,66,FALSE,FALSE,3960003800000
"20","USD",22000040000,3,2,23.5,FALSE,117,FALSE,FALSE,4.400008e+12
"21","USD",990008500,1,1,25.5,FALSE,45,FALSE,FALSE,198001700000
"22","USD",16900021800,2,1,20.5,FALSE,68,FALSE,FALSE,3380004360000
"23","USD",29500022500,3,2,26,FALSE,95,FALSE,FALSE,5900004500000
"24","USD",8600011200,1,NA,45,FALSE,42,FALSE,FALSE,1720002240000
"25","USD",1180008000,1,1,23,FALSE,31,FALSE,FALSE,236001600000
"26","USD",1349009000,2,1,35,FALSE,85,FALSE,FALSE,269801800000
"27","USD",16000013000,2,1,23,FALSE,50,FALSE,FALSE,3200002600000
"28","USD",90000,NA,1,20.5,TRUE,34,FALSE,FALSE,1.8e+07
"29","USD",17500012000,2,2,23.5,FALSE,78,FALSE,FALSE,3500002400000
"30","USD",15900015500,2,2,28.5,FALSE,73,FALSE,FALSE,3180003100000
"31","USD",46000048774,2,2,26,FALSE,118,FALSE,FALSE,9200009754800
"32","USD",29900034900,4,4,20,FALSE,160,FALSE,FALSE,5980006980000
"33","USD",15500011000,1,1,6,FALSE,57,FALSE,FALSE,3100002200000
"34","USD",20500015000,2,2,26,FALSE,76,FALSE,FALSE,4.100003e+12
"35","USD",18800020000,3,2,26,FALSE,80,FALSE,FALSE,3.760004e+12
"36","USD",16800022000,1,1,25.5,FALSE,48,FALSE,FALSE,3360004400000
"37","USD",115000,1,1,1,FALSE,40,FALSE,FALSE,2.3e+07
"38","USD",75000090000,4,4,14.5,FALSE,253,FALSE,FALSE,1.5000018e+13
"39","USD",83000,NA,1,1,TRUE,29,FALSE,FALSE,16600000
"40","USD",5995012000,2,NA,40,FALSE,40,FALSE,FALSE,1199002400000
"41","USD",18000018000,2,2,21,FALSE,80,FALSE,FALSE,3600003600000
"42","USD",1550006000,2,2,51,FALSE,92,FALSE,FALSE,310001200000
"43","USD",1050007000,NA,1,4.5,TRUE,29,FALSE,FALSE,210001400000
"44","USD",25000033000,3,3,21.5,FALSE,105,FALSE,FALSE,5000006600000
"45","USD",46000032000,3,3,21.5,FALSE,182,FALSE,FALSE,9200006400000
"46","USD",24900046000,3,2,18.5,FALSE,129,FALSE,FALSE,4980009200000
"47","USD",1200005300,1,1,1,FALSE,50,FALSE,FALSE,240001060000
"48","USD",25000014000,3,1,20.5,FALSE,98,FALSE,FALSE,5000002800000
"49","USD",890006000,1,1,14.5,FALSE,43,FALSE,FALSE,178001200000
"50","USD",790007000,1,1,1,FALSE,41,FALSE,FALSE,158001400000
"51","USD",350000,2,3,3,FALSE,105,FALSE,FALSE,7e+07
"52","USD",37000027000,3,2,9.5,FALSE,155,FALSE,FALSE,7400005400000
"53","USD",1250004000,1,1,25.5,FALSE,45,FALSE,FALSE,250000800000
"54","USD",1250008300,2,1,25.5,FALSE,60,FALSE,FALSE,250001660000
"55","USD",85000079500,2,2,49,FALSE,210,FALSE,FALSE,17000015900000
"56","USD",590007500,NA,1,18,TRUE,30,FALSE,FALSE,118001500000
"57","USD",7350016166,1,1,20.5,FALSE,40,FALSE,FALSE,1470003233200
"58","USD",115000,1,1,25.5,FALSE,60,FALSE,FALSE,2.3e+07
"59","USD",41000042900,3,3,21.5,FALSE,175,FALSE,FALSE,8200008580000
"60","USD",13000011373,2,1,20.5,FALSE,52,FALSE,FALSE,2600002274600
"61","USD",795006532,NA,1,20.5,TRUE,NA,FALSE,FALSE,159001306400
"62","USD",24500037000,3,3,21.5,FALSE,150,FALSE,FALSE,4900007400000
"63","USD",13000010000,1,1,13,FALSE,42,FALSE,FALSE,2.600002e+12
"64","USD",21000032042,3,2,21,FALSE,112,FALSE,FALSE,4200006408400
"65","USD",19900015314,2,1,35.5,FALSE,58,FALSE,FALSE,3980003062800
"66","ARS",2500,NA,1,1,TRUE,44,FALSE,FALSE,2500
"67","USD",920003800,1,1,25.5,FALSE,43,FALSE,FALSE,184000760000
"68","USD",15000010000,1,1,4.5,FALSE,40,FALSE,FALSE,3.000002e+12
"69","USD",33000034000,3,2,21,FALSE,132,FALSE,FALSE,6600006800000
"70","USD",255000,3,2,27,FALSE,112,FALSE,FALSE,5.1e+07
"71","USD",16500028000,3,1,30.5,FALSE,82,FALSE,FALSE,3300005600000
"72","USD",590000,3,3,21.5,FALSE,152,FALSE,FALSE,1.18e+08
"73","USD",590000,4,2,21,FALSE,196,FALSE,FALSE,1.18e+08
"74","USD",890007800,1,1,20.5,FALSE,53,FALSE,FALSE,178001560000
"75","USD",70000,2,1,20.5,FALSE,50,FALSE,FALSE,1.4e+07
"76","USD",29500034500,3,4,22,FALSE,138,FALSE,FALSE,5900006900000
"77","USD",18000014000,2,2,21,FALSE,87,FALSE,FALSE,3600002800000
"78","USD",6300012056,1,1,20.5,FALSE,38,FALSE,FALSE,1260002411200
"79","USD",18000020200,3,2,21,FALSE,93,FALSE,FALSE,3600004040000
"80","USD",12000013060,2,1,20.5,FALSE,50,FALSE,FALSE,2400002612000
"81","USD",729006550,1,1,35.5,FALSE,29,FALSE,FALSE,145801310000
"82","USD",18990012000,2,1,16.5,FALSE,70,FALSE,FALSE,3798002400000
"83","USD",45000033771,3,3,31.5,FALSE,163,FALSE,FALSE,9000006754200
"84","USD",775005000,1,1,25.5,FALSE,34,FALSE,FALSE,1.55001e+11
"85","USD",13600014000,2,1,20.5,FALSE,66,FALSE,FALSE,2720002800000
"86","USD",1200006500,NA,1,1,TRUE,32,FALSE,FALSE,240001300000
"87","USD",18600014000,3,1,25.5,FALSE,78,FALSE,FALSE,3720002800000
"88","USD",45900023000,3,2,51,FALSE,180,FALSE,FALSE,9180004600000
"89","USD",1000007300,1,1,23,FALSE,28,FALSE,FALSE,200001460000
"90","USD",22000045000,2,2,16,FALSE,93,FALSE,FALSE,4.400009e+12
"91","USD",750003854,NA,1,1,TRUE,33,FALSE,FALSE,150000770800
"92","USD",995008500,1,1,20.5,FALSE,63,FALSE,FALSE,199001700000
"93","USD",20900026976,2,2,21,FALSE,102,FALSE,FALSE,4180005395200
"94","USD",230000,NA,2,18.5,TRUE,88,FALSE,FALSE,4.6e+07
"95","USD",27800011000,2,2,2,FALSE,NA,FALSE,FALSE,5560002200000
"96","USD",240000,3,2,36,FALSE,95,FALSE,FALSE,4.8e+07
"97","USD",8800010300,2,1,35.5,FALSE,68,FALSE,FALSE,1760002060000
"98","USD",17500017000,2,2,21,FALSE,99,FALSE,FALSE,3500003400000
"99","USD",14900019131,3,2,21,FALSE,85,FALSE,FALSE,2980003826200
"100","USD",640009000,1,1,20.5,FALSE,33,FALSE,FALSE,128001800000
"101","USD",990008500,1,1,20.5,FALSE,45,FALSE,FALSE,198001700000
"102","USD",21000014000,2,3,27,FALSE,80,FALSE,FALSE,4200002800000
"103","USD",5400014345,1,1,20.5,FALSE,40,FALSE,FALSE,1080002869000
"104","USD",599005689,1,1,20.5,FALSE,42,FALSE,FALSE,119801137800
"105","USD",23500032000,3,3,3,FALSE,101,FALSE,FALSE,4700006400000
"106","USD",19900013500,2,2,36,FALSE,92,FALSE,FALSE,3980002700000
"107","USD",319999,2,2,2,FALSE,74,FALSE,FALSE,63999800
"108","USD",8400010670,1,1,20.5,FALSE,40,FALSE,FALSE,1680002134000
"109","USD",42900036000,4,4,20.5,FALSE,204,FALSE,FALSE,8580007200000
"110","USD",22000017600,3,2,26,FALSE,84,FALSE,FALSE,4400003520000
"111","USD",327999,2,2,2,FALSE,74,FALSE,FALSE,65599800
"112","USD",29800047124,4,2,26,FALSE,118,FALSE,FALSE,5960009424800
"113","USD",17500026000,3,2,21,FALSE,115,FALSE,FALSE,3500005200000
"114","USD",195000,3,2,2,FALSE,90,FALSE,FALSE,3.9e+07
"115","USD",10700010000,2,1,1,FALSE,66,FALSE,FALSE,2.140002e+12
"116","USD",750000,2,2,21,FALSE,180,FALSE,FALSE,1.5e+08
"117","USD",24900023000,2,1,18,FALSE,125,FALSE,FALSE,4980004600000
"118","USD",830005000,NA,1,20.5,TRUE,32,FALSE,FALSE,1.66001e+11
"119","USD",1250009390,2,1,20.5,FALSE,51,FALSE,FALSE,250001878000
"120","USD",470001908,NA,1,13,TRUE,25,FALSE,FALSE,94000381600
"121","USD",1880002960,3,2,36,FALSE,93,FALSE,FALSE,376000592000
"122","USD",32000041000,3,2,31,FALSE,145,FALSE,FALSE,6400008200000
"123","USD",81000,NA,NA,NA,FALSE,35,FALSE,FALSE,16200000
"124","USD",24900018000,3,3,21.5,FALSE,101,FALSE,FALSE,4980003600000
